#Aperture(m), Duration(hours), a, b
0.1, 0.3, 0.00542369868249736, 0.4603911845582091
0.1, 0.4, 0.004699554576762416, 0.4603583853887378
0.1, 0.5, 0.004202778922166533, 0.4603676625625149
0.1, 0.6, 0.003561495325678233, 0.4602024946923519
0.1, 0.7, 0.0033300759905709357, 0.46022845096994436
0.1, 0.8, 0.0031392611476397415, 0.46023564071016193
0.1, 0.9, 0.0029774009214328257, 0.4602515020859196
0.1, 1.0, 0.0028384749020710573, 0.46025946527626954
0.1, 1.1, 0.002716897094228756, 0.46027620081410575
0.1, 1.2, 0.002609955506338636, 0.46028460788460535
0.1, 1.3, 0.0025150961413318404, 0.46028264424531573
0.1, 1.4, 0.002429030245815839, 0.460302577326038
0.1, 1.5, 0.002351973613242759, 0.46030060628203756
0.1, 1.6, 0.0022818331058830346, 0.4602983441958234
0.1, 1.7, 0.0021603502309301818, 0.4602424386346672
0.1, 1.8, 0.002105423481151908, 0.460249061012344
0.1, 1.9, 0.0020543727941823, 0.4602583922339899
0.1, 2.0, 0.002006896632207409, 0.4602658766064386
0.1, 2.1, 0.0019626608693840615, 0.4602697442457755
0.1, 2.2, 0.0019213710332834616, 0.4602686543458608
0.1, 2.3, 0.0018821709177749414, 0.46028114975363466
0.1, 2.4, 0.0018456306753210248, 0.4602808098390388
0.1, 2.5, 0.001811034819695801, 0.46028405562047403
0.1, 2.6, 0.0017783723466626184, 0.4602850508669199
0.1, 2.7, 0.0017472751344951782, 0.46029094375038765
0.1, 2.8, 0.0016909690837194275, 0.4602544614848973
0.1, 2.9, 0.0016641946542625304, 0.4602597875904029
0.1, 3.0, 0.0016386925056144552, 0.4602633011702451
0.1, 3.1, 0.0016142851500611701, 0.4602682440557026
0.1, 3.2, 0.0015909369000289292, 0.4602729050336808
0.1, 3.3, 0.001568704467379486, 0.4602721372291709
0.1, 3.4, 0.001547313929712357, 0.4602740010307557
0.1, 3.5, 0.001526677360723239, 0.46027972792721666
0.1, 3.6, 0.001506930361179166, 0.4602816613161312
0.1, 3.7, 0.0014880162768895581, 0.46027992837515175
0.1, 3.8, 0.0014696808879058007, 0.4602831610552609
0.1, 3.9, 0.0014355384137173645, 0.4602640656665635
0.1, 4.0, 0.0014191141399561183, 0.46026483369298093
0.1, 4.1, 0.0014032106471265858, 0.4602669036881936
0.1, 4.2, 0.001387866320025511, 0.46026727260721934
0.1, 4.3, 0.001372878201787591, 0.4602737641945585
0.1, 4.4, 0.0013585100970508184, 0.46027340263865774
0.1, 4.5, 0.0013445253932638174, 0.46027574400142457
0.1, 4.6, 0.001330944936267761, 0.46027886901683757
0.1, 4.7, 0.0013177835340126703, 0.4602811371473458
0.1, 4.8, 0.0013050946034696624, 0.46027907423022935
0.1, 4.9, 0.001292672456114604, 0.46028152840329534
0.1, 5.0, 0.0012693017786332222, 0.4602644691025464
0.1, 5.1, 0.001257867515636382, 0.4602669333810371
0.1, 5.2, 0.0012467358293068852, 0.46026936084421294
0.1, 5.3, 0.0012359418390158702, 0.46026933930302155
0.1, 5.4, 0.0012253962987326095, 0.4602706863363802
0.1, 5.5, 0.0012150647268344278, 0.46027460556116306
0.1, 5.6, 0.0012050363958778215, 0.46027602344202545
0.1, 5.7, 0.0011952828085127884, 0.46027582008798923
0.1, 5.8, 0.0011857452711067987, 0.4602765101353741
0.1, 5.9, 0.001176371359842644, 0.46028038751418143
0.1, 6.0, 0.0011672868258054345, 0.46028041270076253
0.1, 6.1, 0.0011499897912392253, 0.4602665823745664
0.1, 6.2, 0.0011415007837311567, 0.46026668546690763
0.1, 6.3, 0.0011331270252418807, 0.4602706030972494
0.1, 6.4, 0.0011250037921306617, 0.4602706236630466
0.1, 6.5, 0.0011170243755845583, 0.4602722159636043
0.1, 6.6, 0.0011092426456559092, 0.46027207737821596
0.1, 6.7, 0.001101543416444762, 0.4602763122676304
0.1, 6.8, 0.001094053423637985, 0.46027754557217604
0.1, 6.9, 0.0010867549414735227, 0.4602764270721272
0.1, 7.0, 0.0010795562376860743, 0.4602778776679322
0.1, 7.1, 0.0010724925654922869, 0.460279644284715
0.1, 7.2, 0.001059031521099921, 0.46026785704233253
0.1, 7.3, 0.001052387062654918, 0.46026813377771764
0.1, 7.4, 0.0010458469814883303, 0.4602695348440676
0.1, 7.5, 0.0010394155577575018, 0.4602716011323403
0.1, 7.6, 0.0010331156720297494, 0.4602727605266713
0.1, 7.7, 0.0010269450990789894, 0.4602729219936675
0.1, 7.8, 0.0010208683071445182, 0.46027401646031285
0.1, 7.9, 0.0010148746943409131, 0.46027651169656275
0.1, 8.0, 0.001009023750477978, 0.46027660301060525
0.1, 8.1, 0.0010032575257395632, 0.46027763592044063
0.1, 8.2, 0.0009976072235661209, 0.4602775190132922
0.1, 8.3, 0.000986720306407406, 0.46026894874065916
0.1, 8.4, 0.000981343984162271, 0.46026889045050434
0.1, 8.5, 0.0009760264194091855, 0.46027061776075484
0.1, 8.6, 0.0009707958864738686, 0.4602722108437377
0.1, 8.7, 0.0009656583543131325, 0.4602731434605709
0.1, 8.8, 0.0009605950186563191, 0.4602744760505696
0.1, 8.9, 0.0009556332308155782, 0.4602743111970967
0.1, 9.0, 0.000950738412581696, 0.4602747433074771
0.1, 9.1, 0.0009458966941277186, 0.4602765612702246
0.1, 9.2, 0.0009411417682025173, 0.4602774523157371
0.1, 9.3, 0.0009364691564417839, 0.4602775790222841
0.1, 9.4, 0.0009274488125224294, 0.4602698312991422
0.1, 9.5, 0.0009229782361203565, 0.460269893569618
0.1, 9.6, 0.0009185576858048905, 0.4602708969298552
0.1, 9.7, 0.0009141941372789427, 0.4602722811236545
0.1, 9.8, 0.0009099118996790313, 0.46027230054942214
0.1, 9.9, 0.0009056562521963607, 0.46027457251326925
0.1, 10.0, 0.0009014988770419855, 0.46027412189573047
0.1, 10.1, 0.0008973801020026594, 0.4602749280616186
0.1, 10.2, 0.0008933098291349936, 0.46027623400943457
0.1, 10.3, 0.0008892931136292242, 0.4602776097114243
0.1, 10.4, 0.0008853520104651342, 0.46027743118551917
0.1, 10.5, 0.0008777352943355491, 0.4602692744139948
0.1, 10.6, 0.0008739428251644086, 0.46026934142743176
0.1, 10.7, 0.0008701703361027636, 0.46027144902840733
0.1, 10.8, 0.0008664612858193007, 0.46027245142570544
0.1, 10.9, 0.000862808515278659, 0.4602727743396256
0.1, 11.0, 0.000859175753147179, 0.46027494708675654
0.1, 11.1, 0.0008556283140946334, 0.4602742079255768
0.1, 11.2, 0.0008521016501341911, 0.46027513508849344
0.1, 11.3, 0.000848631598966753, 0.46027507408735274
0.1, 11.4, 0.0008451916792540206, 0.46027588573777534
0.1, 11.5, 0.0008417808680073426, 0.46027759356217995
0.1, 11.6, 0.0008352297474247998, 0.4602699387325852
0.1, 11.7, 0.0008319450551153175, 0.46027110418496014
0.1, 11.8, 0.0008287169268659339, 0.4602709004679117
0.1, 11.9, 0.0008254986898133164, 0.46027275035984627
0.1, 12.0, 0.0008223349978415898, 0.46027326979175637
0.1, 12.1, 0.0008192124941540958, 0.4602733965884984
0.1, 12.2, 0.0008161290764239436, 0.4602732350609019
0.1, 12.3, 0.0008130463798550505, 0.4602756477238281
0.1, 12.4, 0.0008100339869908123, 0.4602753057895565
0.1, 12.5, 0.0008070398513546775, 0.46027611621789144
0.1, 12.6, 0.0008040613090552429, 0.46027824900036507
0.1, 12.7, 0.0007983552810313853, 0.46027053813285096
0.1, 12.8, 0.0007954886962120979, 0.46027133162240674
0.1, 12.9, 0.0007926595382739322, 0.4602715862334657
0.1, 13.0, 0.0007898525134880539, 0.4602724506406183
0.1, 13.1, 0.000787077015882532, 0.4602731516612483
0.1, 13.2, 0.0007843333850350353, 0.46027362203880884
0.1, 13.3, 0.000781622683494479, 0.46027373540397826
0.1, 13.4, 0.000778920381685546, 0.4602753946140181
0.1, 13.5, 0.0007762640515778463, 0.4602755878736849
0.1, 13.6, 0.0007736269566929913, 0.46027639825969763
0.1, 13.7, 0.0007710216394987296, 0.4602767899866971
0.1, 13.8, 0.0007659818592053518, 0.46027006117486086
0.1, 13.9, 0.0007634369242728984, 0.4602717692906295
0.1, 14.0, 0.0007609389870361964, 0.46027168493986254
0.1, 14.1, 0.0007584510160013782, 0.4602727748566965
0.1, 14.2, 0.0007559947223057631, 0.4602732423157968
0.1, 14.3, 0.0007535616120779297, 0.46027374742860516
0.1, 14.4, 0.0007511557541928248, 0.4602739245897947
0.1, 14.5, 0.0007487678499696838, 0.46027450739398856
0.1, 14.6, 0.0007464007705167502, 0.46027523243843543
0.1, 14.7, 0.0007440510719507345, 0.46027635718728355
0.1, 14.8, 0.0007417284069095724, 0.46027705330541246
0.1, 14.9, 0.000737243870038947, 0.4602703437365079
0.1, 15.0, 0.0007349715883496759, 0.4602721222533633
0.1, 15.1, 0.0007327406015038903, 0.4602721578315211
0.1, 15.2, 0.0007305230445115597, 0.4602727651467046
0.1, 15.3, 0.0007283344194594093, 0.46027260835327666
0.1, 15.4, 0.0007261569652949945, 0.4602731668029609
0.1, 15.5, 0.000723989675084706, 0.4602745077443932
0.1, 15.6, 0.0007218541421310606, 0.4602747661176715
0.1, 15.7, 0.0007197337121829765, 0.4602753376285213
0.1, 15.8, 0.0007176385335283921, 0.46027532769363866
